<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:01:40.500	134.888	134.888			6
2022.08.17	11:01:40.707	134.889	134.889			6
2022.08.17	11:01:40.804	134.887	134.887			6
2022.08.17	11:01:40.904	134.888	134.888			6
2022.08.17	11:01:41.002	134.886	134.886			6
2022.08.17	11:01:41.104	134.887	134.887			6
2022.08.17	11:01:41.558	134.884	134.884			6
2022.08.17	11:01:41.660	134.883	134.883			6
2022.08.17	11:01:41.756	134.882	134.882			6
2022.08.17	11:01:41.869	134.875	134.875			6
2022.08.17	11:01:41.967	134.874	134.874			6
2022.08.17	11:01:42.097	134.872	134.872			6
2022.08.17	11:01:42.211	134.875	134.875			6
2022.08.17	11:01:42.310	134.874	134.874			6
2022.08.17	11:01:42.406	134.875	134.875			6
2022.08.17	11:01:42.506	134.874	134.874			6
2022.08.17	11:01:42.609	134.875	134.875			6
2022.08.17	11:01:42.712	134.872	134.872			6
2022.08.17	11:01:42.818	134.871	134.871			6
2022.08.17	11:01:42.940	134.870	134.870			6
2022.08.17	11:01:43.061	134.872	134.872			6
2022.08.17	11:01:43.161	134.869	134.869			6
2022.08.17	11:01:43.271	134.867	134.867			6
2022.08.17	11:01:43.364	134.865	134.865			6
2022.08.17	11:01:43.469	134.862	134.862			6
2022.08.17	11:01:43.669	134.864	134.864			6
2022.08.17	11:01:43.796	134.862	134.862			6
2022.08.17	11:01:44.053	134.863	134.863			6
2022.08.17	11:01:44.144	134.862	134.862			6
2022.08.17	11:01:44.243	134.861	134.861			6
2022.08.17	11:01:44.339	134.862	134.862			6
2022.08.17	11:01:44.446	134.861	134.861			6
2022.08.17	11:01:44.544	134.860	134.860			6
2022.08.17	11:01:44.647	134.859	134.859			6
2022.08.17	11:01:44.771	134.860	134.860			6
