<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	03:42:00	0.94946	0.94948	0.94943	0.94947	39	0	7
2022.08.17	03:43:00	0.94947	0.94953	0.94944	0.94944	54	0	6
2022.08.17	03:44:00	0.94944	0.94948	0.94943	0.94948	40	0	6
2022.08.17	03:45:00	0.94946	0.94949	0.94944	0.94944	39	0	7
2022.08.17	03:46:00	0.94946	0.94946	0.94943	0.94946	15	0	6
2022.08.17	03:47:00	0.94946	0.94955	0.94941	0.94943	48	0	7
2022.08.17	03:48:00	0.94943	0.94944	0.94937	0.94941	27	0	7
2022.08.17	03:49:00	0.94941	0.94945	0.94940	0.94945	17	0	7
2022.08.17	03:50:00	0.94944	0.94948	0.94937	0.94948	47	0	4
2022.08.17	03:51:00	0.94948	0.94958	0.94942	0.94943	51	0	6
2022.08.17	03:52:00	0.94943	0.94945	0.94937	0.94943	29	0	4
2022.08.17	03:53:00	0.94942	0.94951	0.94939	0.94948	33	0	4
2022.08.17	03:54:00	0.94948	0.94966	0.94947	0.94961	63	0	2
2022.08.17	03:55:00	0.94960	0.94962	0.94933	0.94934	60	0	2
2022.08.17	03:56:00	0.94933	0.94949	0.94932	0.94948	50	0	6
2022.08.17	03:57:00	0.94947	0.94947	0.94938	0.94939	34	0	0
2022.08.17	03:58:00	0.94939	0.94943	0.94925	0.94925	24	0	3
2022.08.17	03:59:00	0.94925	0.94929	0.94916	0.94920	24	0	1
2022.08.17	04:00:00	0.94920	0.94928	0.94917	0.94917	40	0	4
2022.08.17	04:01:00	0.94917	0.94931	0.94916	0.94916	28	0	2
2022.08.17	04:02:00	0.94916	0.94924	0.94899	0.94906	58	0	3
2022.08.17	04:03:00	0.94905	0.94913	0.94903	0.94909	73	0	5
2022.08.17	04:04:00	0.94908	0.94911	0.94903	0.94904	48	0	7
2022.08.17	04:05:00	0.94904	0.94912	0.94904	0.94908	40	0	6
2022.08.17	04:06:00	0.94908	0.94918	0.94907	0.94918	34	0	5
2022.08.17	04:07:00	0.94919	0.94922	0.94917	0.94920	56	0	5
2022.08.17	04:08:00	0.94921	0.94924	0.94918	0.94920	19	0	7
2022.08.17	04:09:00	0.94919	0.94925	0.94917	0.94925	26	0	7
2022.08.17	04:10:00	0.94924	0.94926	0.94921	0.94924	33	0	6
2022.08.17	04:11:00	0.94925	0.94926	0.94919	0.94920	57	0	7
2022.08.17	04:12:00	0.94920	0.94921	0.94918	0.94921	62	0	7
2022.08.17	04:13:00	0.94920	0.94926	0.94914	0.94918	62	0	5
2022.08.17	04:14:00	0.94917	0.94917	0.94905	0.94908	68	0	7
2022.08.17	04:15:00	0.94906	0.94909	0.94892	0.94893	55	0	7
2022.08.17	04:16:00	0.94891	0.94903	0.94891	0.94898	57	0	6
2022.08.17	04:17:00	0.94898	0.94899	0.94893	0.94896	44	0	7
2022.08.17	04:18:00	0.94895	0.94897	0.94892	0.94894	33	0	7
2022.08.17	04:19:00	0.94893	0.94898	0.94886	0.94888	45	0	3
2022.08.17	04:20:00	0.94888	0.94893	0.94888	0.94891	17	0	3
2022.08.17	04:21:00	0.94891	0.94895	0.94891	0.94893	16	0	2
2022.08.17	04:22:00	0.94893	0.94895	0.94891	0.94895	6	0	3
2022.08.17	04:23:00	0.94895	0.94895	0.94886	0.94886	21	0	2
2022.08.17	04:24:00	0.94886	0.94886	0.94874	0.94882	23	0	2
2022.08.17	04:25:00	0.94883	0.94889	0.94881	0.94889	26	0	6
2022.08.17	04:26:00	0.94889	0.94895	0.94889	0.94895	9	0	7
2022.08.17	04:27:00	0.94895	0.94895	0.94883	0.94884	33	0	7
2022.08.17	04:28:00	0.94883	0.94884	0.94877	0.94882	36	0	7
2022.08.17	04:29:00	0.94882	0.94886	0.94882	0.94886	20	0	7
2022.08.17	04:30:00	0.94887	0.94907	0.94885	0.94905	77	0	3
2022.08.17	04:31:00	0.94904	0.94909	0.94898	0.94898	65	0	2
2022.08.17	04:32:00	0.94896	0.94900	0.94893	0.94897	33	0	2
2022.08.17	04:33:00	0.94896	0.94904	0.94896	0.94903	26	0	6
2022.08.17	04:34:00	0.94903	0.94918	0.94903	0.94911	48	0	3
2022.08.17	04:35:00	0.94911	0.94915	0.94908	0.94912	38	0	4
2022.08.17	04:36:00	0.94912	0.94913	0.94908	0.94912	34	0	6
2022.08.17	04:37:00	0.94912	0.94941	0.94911	0.94941	63	0	2
2022.08.17	04:38:00	0.94940	0.94943	0.94936	0.94939	59	0	1
2022.08.17	04:39:00	0.94940	0.94941	0.94931	0.94933	44	0	1
2022.08.17	04:40:00	0.94933	0.94937	0.94933	0.94934	35	0	4
2022.08.17	04:41:00	0.94933	0.94933	0.94902	0.94905	39	0	3
2022.08.17	04:42:00	0.94906	0.94919	0.94906	0.94919	30	0	4
2022.08.17	04:43:00	0.94919	0.94935	0.94917	0.94934	39	0	2
2022.08.17	04:44:00	0.94933	0.94934	0.94919	0.94919	43	0	3
2022.08.17	04:45:00	0.94920	0.94933	0.94918	0.94928	42	0	3
2022.08.17	04:46:00	0.94928	0.94935	0.94926	0.94934	35	0	4
2022.08.17	04:47:00	0.94935	0.94936	0.94931	0.94932	31	0	3
2022.08.17	04:48:00	0.94932	0.94932	0.94914	0.94916	63	0	5
2022.08.17	04:49:00	0.94916	0.94918	0.94905	0.94909	54	0	7
2022.08.17	04:50:00	0.94910	0.94912	0.94904	0.94912	48	0	7
2022.08.17	04:51:00	0.94911	0.94914	0.94908	0.94913	27	0	7
2022.08.17	04:52:00	0.94913	0.94914	0.94906	0.94909	28	0	6
2022.08.17	04:53:00	0.94909	0.94911	0.94898	0.94901	48	0	6
2022.08.17	04:54:00	0.94901	0.94904	0.94897	0.94899	41	0	4
2022.08.17	04:55:00	0.94898	0.94918	0.94898	0.94916	42	0	4
2022.08.17	04:56:00	0.94916	0.94916	0.94906	0.94909	52	0	5
2022.08.17	04:57:00	0.94909	0.94909	0.94894	0.94896	44	0	2
2022.08.17	04:58:00	0.94897	0.94900	0.94892	0.94895	35	0	3
2022.08.17	04:59:00	0.94895	0.94897	0.94874	0.94887	64	0	1
2022.08.17	05:00:00	0.94891	0.94892	0.94864	0.94872	169	0	0
2022.08.17	05:01:00	0.94871	0.94885	0.94861	0.94878	140	0	4
2022.08.17	05:02:00	0.94878	0.94889	0.94875	0.94882	76	0	3
2022.08.17	05:03:00	0.94879	0.94885	0.94855	0.94856	87	0	4
2022.08.17	05:04:00	0.94856	0.94876	0.94856	0.94875	79	0	2
2022.08.17	05:05:00	0.94874	0.94878	0.94856	0.94857	71	0	3
2022.08.17	05:06:00	0.94857	0.94863	0.94850	0.94855	55	0	3
2022.08.17	05:07:00	0.94854	0.94869	0.94851	0.94866	54	0	3
2022.08.17	05:08:00	0.94865	0.94868	0.94858	0.94861	66	0	4
2022.08.17	05:09:00	0.94860	0.94871	0.94860	0.94871	57	0	4
2022.08.17	05:10:00	0.94872	0.94878	0.94857	0.94858	66	0	3
2022.08.17	05:11:00	0.94858	0.94858	0.94841	0.94841	50	0	6
2022.08.17	05:12:00	0.94841	0.94844	0.94835	0.94839	31	0	6
2022.08.17	05:13:00	0.94839	0.94839	0.94828	0.94829	52	0	6
2022.08.17	05:14:00	0.94829	0.94838	0.94829	0.94831	47	0	3
2022.08.17	05:15:00	0.94831	0.94833	0.94828	0.94833	38	0	5
2022.08.17	05:16:00	0.94833	0.94840	0.94833	0.94838	10	0	5
2022.08.17	05:17:00	0.94838	0.94859	0.94838	0.94856	39	0	2
2022.08.17	05:18:00	0.94856	0.94862	0.94855	0.94857	46	0	2
2022.08.17	05:19:00	0.94858	0.94862	0.94850	0.94856	47	0	3
2022.08.17	05:20:00	0.94856	0.94866	0.94855	0.94859	39	0	1
2022.08.17	05:21:00	0.94859	0.94872	0.94859	0.94868	27	0	3
2022.08.17	05:22:00	0.94868	0.94869	0.94860	0.94866	50	0	4
2022.08.17	05:23:00	0.94866	0.94887	0.94866	0.94887	69	0	3
2022.08.17	05:24:00	0.94885	0.94886	0.94879	0.94879	41	0	7
2022.08.17	05:25:00	0.94879	0.94881	0.94873	0.94877	23	0	7
2022.08.17	05:26:00	0.94876	0.94886	0.94876	0.94886	20	0	4
2022.08.17	05:27:00	0.94882	0.94883	0.94879	0.94881	15	0	7
2022.08.17	05:28:00	0.94882	0.94889	0.94881	0.94888	32	0	5
2022.08.17	05:29:00	0.94888	0.94888	0.94883	0.94886	16	0	6
2022.08.17	05:30:00	0.94885	0.94888	0.94882	0.94883	32	0	5
2022.08.17	05:31:00	0.94883	0.94884	0.94880	0.94884	31	0	7
2022.08.17	05:32:00	0.94883	0.94888	0.94881	0.94882	27	0	7
2022.08.17	05:33:00	0.94881	0.94887	0.94879	0.94887	15	0	7
2022.08.17	05:34:00	0.94887	0.94887	0.94879	0.94881	10	0	7
2022.08.17	05:35:00	0.94881	0.94888	0.94880	0.94888	18	0	7
2022.08.17	05:36:00	0.94887	0.94889	0.94885	0.94885	23	0	7
2022.08.17	05:37:00	0.94884	0.94887	0.94882	0.94887	33	0	7
2022.08.17	05:38:00	0.94887	0.94894	0.94887	0.94892	11	0	7
2022.08.17	05:39:00	0.94892	0.94894	0.94891	0.94893	14	0	7
2022.08.17	05:40:00	0.94893	0.94894	0.94888	0.94889	27	0	7
2022.08.17	05:41:00	0.94889	0.94893	0.94889	0.94892	15	0	7
2022.08.17	05:42:00	0.94891	0.94894	0.94889	0.94894	13	0	7
2022.08.17	05:43:00	0.94893	0.94894	0.94888	0.94894	18	0	7
2022.08.17	05:44:00	0.94896	0.94901	0.94896	0.94898	23	0	6
2022.08.17	05:45:00	0.94898	0.94906	0.94896	0.94906	23	0	4
2022.08.17	05:46:00	0.94906	0.94906	0.94897	0.94898	18	0	2
2022.08.17	05:47:00	0.94900	0.94900	0.94890	0.94892	24	0	6
2022.08.17	05:48:00	0.94894	0.94905	0.94894	0.94903	30	0	4
2022.08.17	05:49:00	0.94903	0.94910	0.94901	0.94907	25	0	7
2022.08.17	05:50:00	0.94907	0.94915	0.94905	0.94910	29	0	1
2022.08.17	05:51:00	0.94910	0.94914	0.94910	0.94913	14	0	4
2022.08.17	05:52:00	0.94908	0.94918	0.94908	0.94911	24	0	3
2022.08.17	05:53:00	0.94912	0.94913	0.94910	0.94911	32	0	7
2022.08.17	05:54:00	0.94910	0.94911	0.94896	0.94897	36	0	4
